,UNIQUE_CARRIER_NAME,DATE,TOP1_DEST,TOP2_DEST,TOP3_DEST,TOP4_DEST,TOP5_DEST
103,Alaska Airlines Inc.,2016-08-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","San Diego, CA"
104,Alaska Airlines Inc.,2016-09-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","Salt Lake City, UT"
105,Alaska Airlines Inc.,2016-10-01,"Seattle, WA","Portland, OR","Anchorage, AK","Salt Lake City, UT","Juneau, AK"
106,Alaska Airlines Inc.,2016-11-01,"Seattle, WA","Portland, OR","Anchorage, AK","Salt Lake City, UT","San Diego, CA"
107,Alaska Airlines Inc.,2016-12-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
108,Alaska Airlines Inc.,2017-01-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
109,Alaska Airlines Inc.,2017-02-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
110,Alaska Airlines Inc.,2017-03-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
111,Alaska Airlines Inc.,2017-04-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
112,Alaska Airlines Inc.,2017-05-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
113,Alaska Airlines Inc.,2017-06-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
114,Alaska Airlines Inc.,2017-07-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
115,Alaska Airlines Inc.,2017-08-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
116,Alaska Airlines Inc.,2017-09-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","San Diego, CA"
117,Alaska Airlines Inc.,2017-10-01,"Seattle, WA","Portland, OR","Anchorage, AK","Juneau, AK","San Diego, CA"
118,Alaska Airlines Inc.,2017-11-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Salt Lake City, UT"
119,Alaska Airlines Inc.,2017-12-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
120,Alaska Airlines Inc.,2018-01-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Los Angeles, CA"
121,Alaska Airlines Inc.,2018-02-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Juneau, AK"
122,Alaska Airlines Inc.,2018-03-01,"Seattle, WA","Portland, OR","Anchorage, AK","San Diego, CA","Los Angeles, CA"
123,Alaska Airlines Inc.,2018-04-01,"Seattle, WA","San Francisco, CA","Portland, OR","Los Angeles, CA","Anchorage, AK"
124,Alaska Airlines Inc.,2018-05-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","Anchorage, AK"
125,Alaska Airlines Inc.,2018-06-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","Anchorage, AK"
126,Alaska Airlines Inc.,2018-07-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","Anchorage, AK"
127,Alaska Airlines Inc.,2018-08-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","Anchorage, AK"
128,Alaska Airlines Inc.,2018-09-01,"Seattle, WA","San Francisco, CA","Portland, OR","Los Angeles, CA","Anchorage, AK"
129,Alaska Airlines Inc.,2018-10-01,"Seattle, WA","San Francisco, CA","Portland, OR","Los Angeles, CA","Anchorage, AK"
130,Alaska Airlines Inc.,2018-11-01,"Seattle, WA","San Francisco, CA","Portland, OR","Los Angeles, CA","Anchorage, AK"
131,Alaska Airlines Inc.,2018-12-01,"Seattle, WA","San Francisco, CA","Portland, OR","Los Angeles, CA","Anchorage, AK"
132,Alaska Airlines Inc.,2019-01-01,"Seattle, WA","San Francisco, CA","Portland, OR","Los Angeles, CA","Anchorage, AK"
133,Alaska Airlines Inc.,2019-02-01,"Seattle, WA","San Francisco, CA","Portland, OR","Los Angeles, CA","Anchorage, AK"
134,Alaska Airlines Inc.,2019-03-01,"Seattle, WA","San Francisco, CA","Portland, OR","Los Angeles, CA","Anchorage, AK"
135,Alaska Airlines Inc.,2019-04-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","Anchorage, AK"
136,Alaska Airlines Inc.,2019-05-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","San Diego, CA"
137,Alaska Airlines Inc.,2019-06-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","San Diego, CA"
138,Alaska Airlines Inc.,2019-07-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","Anchorage, AK"
139,Alaska Airlines Inc.,2019-08-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","San Diego, CA"
140,Alaska Airlines Inc.,2019-09-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","Anchorage, AK"
141,Alaska Airlines Inc.,2019-10-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","San Diego, CA"
142,Alaska Airlines Inc.,2019-11-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","Anchorage, AK"
143,Alaska Airlines Inc.,2019-12-01,"Seattle, WA","Portland, OR","San Francisco, CA","Los Angeles, CA","Anchorage, AK"
144,Allegiant Air,2014-01-01,"Sanford, FL","Las Vegas, NV","Phoenix, AZ","St. Petersburg, FL","Wendover, UT"
145,Allegiant Air,2014-02-01,"Sanford, FL","Phoenix, AZ","Las Vegas, NV","St. Petersburg, FL","Punta Gorda, FL"
146,Allegiant Air,2014-03-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Wendover, UT"
147,Allegiant Air,2014-04-01,"Sanford, FL","Las Vegas, NV","Phoenix, AZ","St. Petersburg, FL","Wendover, UT"
148,Allegiant Air,2014-05-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Wendover, UT"
149,Allegiant Air,2014-06-01,"Sanford, FL","Las Vegas, NV","Phoenix, AZ","St. Petersburg, FL","Wendover, UT"
150,Allegiant Air,2014-07-01,"Sanford, FL","Las Vegas, NV","Phoenix, AZ","St. Petersburg, FL","Los Angeles, CA"
151,Allegiant Air,2014-08-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Los Angeles, CA"
152,Allegiant Air,2014-09-01,"Phoenix, AZ","Las Vegas, NV","Sanford, FL","St. Petersburg, FL","Wendover, UT"
153,Allegiant Air,2014-10-01,"Sanford, FL","Las Vegas, NV","Phoenix, AZ","St. Petersburg, FL","Wendover, UT"
154,Allegiant Air,2014-11-01,"Sanford, FL","Phoenix, AZ","St. Petersburg, FL","Las Vegas, NV","Wendover, UT"
155,Allegiant Air,2014-12-01,"Sanford, FL","Phoenix, AZ","St. Petersburg, FL","Las Vegas, NV","Wendover, UT"
156,Allegiant Air,2015-01-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Wendover, UT"
157,Allegiant Air,2015-02-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Wendover, UT"
158,Allegiant Air,2015-03-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
159,Allegiant Air,2015-04-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Wendover, UT"
160,Allegiant Air,2015-05-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
161,Allegiant Air,2015-06-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Wendover, UT"
162,Allegiant Air,2015-07-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Punta Gorda, FL"
163,Allegiant Air,2015-08-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Wendover, UT"
164,Allegiant Air,2015-09-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Wendover, UT"
165,Allegiant Air,2015-10-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
166,Allegiant Air,2015-11-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
167,Allegiant Air,2015-12-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
168,Allegiant Air,2016-01-01,"Sanford, FL","Phoenix, AZ","St. Petersburg, FL","Las Vegas, NV","Punta Gorda, FL"
169,Allegiant Air,2016-02-01,"Sanford, FL","St. Petersburg, FL","Phoenix, AZ","Las Vegas, NV","Punta Gorda, FL"
170,Allegiant Air,2016-03-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
